SessionID,UserID,Timestamp,PageType,DeviceType,Country,ReferralSource,TimeOnPage_seconds,ItemsInCart,Purchased
session_0,user_2223,20-01-2025 22:53,home,Desktop,India,Social Media,55,0,0
session_1,user_2192,26-02-2025 12:57,home,Tablet,Germany,Email,99,0,0
session_1,user_2192,26-02-2025 12:59,product_page,Tablet,Germany,Email,121,0,0
session_2,user_1708,24-06-2025 15:40,home,Mobile,India,Google,160,0,0
session_3,user_2976,11-06-2025 07:21,home,Tablet,UK,Google,113,0,0
session_4,user_1065,12-04-2025 23:58,home,Desktop,France,Social Media,49,0,0
session_4,user_1065,13-04-2025 00:00,product_page,Desktop,France,Social Media,135,4,0
session_5,user_2216,08-01-2025 20:58,home,Desktop,UK,Email,155,0,1
session_5,user_2216,08-01-2025 20:59,product_page,Desktop,UK,Email,99,0,1
session_5,user_2216,08-01-2025 21:00,cart,Desktop,UK,Email,26,5,1
session_5,user_2216,08-01-2025 21:00,checkout,Desktop,UK,Email,15,5,1
session_5,user_2216,08-01-2025 21:02,confirmation,Desktop,UK,Email,130,0,1
session_6,user_2429,07-05-2025 06:16,home,Desktop,Australia,Social Media,145,0,0
session_7,user_2450,04-08-2025 20:16,home,Desktop,Australia,Google,61,0,0
session_7,user_2450,04-08-2025 20:18,product_page,Desktop,Australia,Google,129,1,0
session_8,user_1521,19-07-2025 02:20,home,Mobile,France,Email,93,0,0
session_8,user_1521,19-07-2025 02:23,product_page,Mobile,France,Email,137,2,0
session_9,user_1843,14-02-2025 21:33,home,Tablet,India,Social Media,160,0,0
session_9,user_1843,14-02-2025 21:35,product_page,Tablet,India,Social Media,112,5,0
session_9,user_1843,14-02-2025 21:37,cart,Tablet,India,Social Media,153,5,0
session_10,user_2357,17-05-2025 22:11,home,Tablet,India,Direct,75,0,0
session_10,user_2357,17-05-2025 22:13,product_page,Tablet,India,Direct,116,0,0
session_11,user_2760,11-06-2025 20:27,home,Tablet,USA,Direct,54,0,0
session_11,user_2760,11-06-2025 20:28,product_page,Tablet,USA,Direct,81,4,0
session_11,user_2760,11-06-2025 20:30,cart,Tablet,USA,Direct,113,4,0
session_12,user_2907,31-03-2025 11:11,home,Mobile,France,Email,31,0,0
session_12,user_2907,31-03-2025 11:14,product_page,Mobile,France,Email,147,1,0
session_12,user_2907,31-03-2025 11:15,cart,Mobile,France,Email,92,1,0
session_13,user_1058,01-08-2025 19:45,home,Tablet,USA,Direct,42,0,0
session_13,user_1058,01-08-2025 19:48,product_page,Tablet,USA,Direct,171,5,0
session_13,user_1058,01-08-2025 19:50,cart,Tablet,USA,Direct,144,5,0
session_14,user_1884,14-04-2025 13:14,home,Mobile,Australia,Email,130,0,0
session_14,user_1884,14-04-2025 13:16,product_page,Mobile,Australia,Email,77,0,0
session_15,user_2270,04-05-2025 18:51,home,Mobile,Australia,Email,178,0,0
session_15,user_2270,04-05-2025 18:53,product_page,Mobile,Australia,Email,116,5,0
session_15,user_2270,04-05-2025 18:55,cart,Mobile,Australia,Email,137,5,0
session_16,user_1016,01-07-2025 07:57,home,Mobile,USA,Email,163,0,0
session_17,user_1629,02-06-2025 13:09,home,Mobile,USA,Social Media,47,0,0
session_17,user_1629,02-06-2025 13:12,product_page,Mobile,USA,Social Media,129,3,0
session_17,user_1629,02-06-2025 13:13,cart,Mobile,USA,Social Media,78,3,0
session_18,user_1797,11-05-2025 10:48,home,Mobile,USA,Email,78,0,1
session_18,user_1797,11-05-2025 10:49,product_page,Mobile,USA,Email,104,0,1
session_18,user_1797,11-05-2025 10:50,cart,Mobile,USA,Email,51,0,1
session_18,user_1797,11-05-2025 10:52,checkout,Mobile,USA,Email,142,2,1
session_18,user_1797,11-05-2025 10:53,confirmation,Mobile,USA,Email,58,0,1
